Entity,Year,Annual CO₂ emissions including land-use change
World,1850,2835458800
World,1851,3018492200
World,1852,3065093600
World,1853,3122834700
World,1854,3169878800
World,1855,3138780700
World,1856,3247129900
World,1857,3232267300
World,1858,3260377600
World,1859,3341246500
World,1860,3113146400
World,1861,3116545300
World,1862,3096443100
World,1863,3086653700
World,1864,3028223000
World,1865,3006283300
World,1866,3057194000
World,1867,3051036400
World,1868,3033160000
World,1869,3109619000
World,1870,3371271700
World,1871,3424298200
World,1872,3683467300
World,1873,3650682400
World,1874,3806669300
World,1875,3943473700
World,1876,3973975300
World,1877,3885493200
World,1878,3986566100
World,1879,4029951000
World,1880,4238370600
World,1881,4265046300
World,1882,4494524000
World,1883,4476418600
World,1884,4641681400
World,1885,4648388600
World,1886,4577955000
World,1887,4775171000
World,1888,4767220000
World,1889,4879210500
World,1890,5256924000
World,1891,5529553000
World,1892,5481639000
World,1893,5651208700
World,1894,5715697700
World,1895,5804726300
World,1896,5789286000
World,1897,6021850000
World,1898,6062896600
World,1899,6310746000
World,1900,6467588000
World,1901,6556726300
World,1902,6702020000
World,1903,6858983000
World,1904,6966584300
World,1905,7263804400
World,1906,7381790000
World,1907,7648859000
World,1908,7624520700
World,1909,7847356400
World,1910,7790212000
World,1911,7916859400
World,1912,7932678000
World,1913,8031084500
World,1914,7786192000
World,1915,7711419400
World,1916,7914631000
World,1917,8093513700
World,1918,8048176000
World,1919,7515103000
World,1920,8141360000
World,1921,7945137700
World,1922,8057032700
World,1923,8598434000
World,1924,8624079000
World,1925,8659077000
World,1926,8607713000
World,1927,8978803000
World,1928,8936300000
World,1929,9182317000
World,1930,8978352000
World,1931,8724165000
World,1932,8426001400
World,1933,8660049000
World,1934,8993966000
World,1935,9096908000
World,1936,9508503000
World,1937,9865007000
World,1938,9647704000
World,1939,9827297000
World,1940,10343007000
World,1941,10737394000
World,1942,10751767000
World,1943,10796097000
World,1944,10860886000
World,1945,9981611000
World,1946,10256099000
World,1947,10801528000
World,1948,10998176000
World,1949,10680232000
World,1950,12137298000
World,1951,12941234000
World,1952,12945541000
World,1953,13239966000
World,1954,13769990000
World,1955,14567124000
World,1956,15145513000
World,1957,15509211000
World,1958,15608502000
World,1959,16598380000
World,1960,16093020000
World,1961,16235569000
World,1962,16077983000
World,1963,16428055000
World,1964,16683293000
World,1965,16935702000
World,1966,17085477000
World,1967,17638224000
World,1968,18237686000
World,1969,19597758000
World,1970,20593228000
World,1971,20621949000
World,1972,21615157000
World,1973,22329176000
World,1974,22149474000
World,1975,22112086000
World,1976,23073288000
World,1977,24012407000
World,1978,24482347000
World,1979,24295772000
World,1980,24456057000
World,1981,23852843000
World,1982,23414796000
World,1983,23776866000
World,1984,25286881000
World,1985,25602865000
World,1986,26142145000
World,1987,26589878000
World,1988,27256115000
World,1989,27339980000
World,1990,27705590000
World,1991,28156088000
World,1992,27786177000
World,1993,27729648000
World,1994,28882323000
World,1995,28964485000
World,1996,30270710000
World,1997,31808471000
World,1998,30448243000
World,1999,30856643000
World,2000,30807773000
World,2001,30471537000
World,2002,31404986000
World,2003,33745170000
World,2004,34036494000
World,2005,34505376000
World,2006,35960540000
World,2007,36129227000
World,2008,36954510000
World,2009,36815900000
World,2010,38843814000
World,2011,39782806000
World,2012,40651915000
World,2013,40417810000
World,2014,40846287000
World,2015,40936485000
World,2016,39822910000
World,2017,40220918000
World,2018,40575144000
World,2019,40891020000
World,2020,38565520000
World,2021,40544514000
World,2022,40834870000
World,2023,41416480000
